stateDt,stateTime,decideCnt,clearCnt,examCnt,deathCnt,careCnt,resutlNegCnt,accExamCnt,accExamCompCnt,accDefRate,createDt,updateDt
20200225,9:00,893,22,13273,8,,,,,,00:40.4,
20200225,16:00,977,22,13880,10,,,,,,02:03.0,
20200226,9:00,1146,22,16734,11,,,,,,02:05.0,
20200226,16:00,1261,24,20716,12,,,,,,00:43.4,
20200227,9:00,1595,24,21097,12,,,,,,19:35.3,
20200227,16:00,1766,26,25568,13,,,,,,32:06.1,
20200228,9:00,2022,26,24751,13,,,,,,32:34.3,34:23.2
20200228,16:00,2337,27,30237,13,,,,,,01:59.6,
20200229,9:00,2931,27,29154,16,,,,,,14:50.5,
20200229,16:00,3150,28,35182,17,,,,,,16:20.2,02:17.2
20200301,9:00,3526,30,32422,17,,,,,,06:32.3,
20200301,16:00,3736,30,33360,18,,,,,,41:45.4,
20200302,0:00,4212,31,33799,22,4159,71580,109591,75792,5.557314756,52:38.4,08:51.5
20200303,0:00,4812,34,35555,28,4750,85484,125851,90296,5.329139718,46:53.5,08:12.1
20200304,0:00,5328,41,28414,32,5255,102965,136707,108293,4.919985595,21:44.4,06:59.6
20200305,0:00,5766,88,21810,35,5643,118965,146541,124731,4.622748154,15:12.1,06:01.0
20200306,0:00,6284,108,21832,42,6134,136624,164740,142908,4.397234584,55:44.4,05:01.0
20200307,0:00,6767,118,19620,44,6605,151802,178189,158569,4.267542836,00:45.4,36:26.3
20200308,0:00,7134,130,19376,50,6954,162008,188518,169142,4.21775786,16:27.3,35:51.5
20200309,0:00,7382,166,17458,51,7165,171778,196618,179160,4.120339361,47:15.1,29:59.6
20200310,0:00,7513,247,18452,54,7212,184179,210144,191692,3.919308057,20:27.3,
20200311,0:00,7755,288,18540,60,7407,196100,222395,203855,3.804174536,17:19.2,
20200312,0:00,7869,333,17727,66,7470,209402,234998,217271,3.621744273,37:03.0,
20200313,0:00,7979,510,17940,67,7402,222728,248647,230707,3.458499309,07:22.2,
20200314,0:00,8086,714,17634,72,7300,235615,261335,243701,3.318000336,29:11.1,34:07.1
20200315,0:00,8162,834,16272,75,7253,243778,268212,251940,3.239660237,01:22.2,
20200316,0:00,8236,1137,14971,75,7024,251297,274504,259533,3.173392208,12:33.3,
20200317,0:00,8320,1401,17291,81,6838,261105,286716,269425,3.088057901,29:38.4,
20200318,0:00,8413,1540,16346,84,6789,270888,295647,279301,3.012162506,26:15.1,
20200319,0:00,8565,1947,15904,91,6527,282555,307024,291120,2.942085738,07:57.6,
20200320,0:00,8652,2233,15525,94,6325,292487,316664,301139,2.873091828,15:59.6,
20200321,0:00,8799,2612,15704,102,6085,303006,327509,311805,2.82195603,02:58.6,
20200322,0:00,8897,2909,14540,104,5884,308343,331780,317240,2.804501324,07:28.3,
20200323,0:00,8961,3166,13628,111,5684,315447,338036,324408,2.762262336,27:32.3,
20200324,0:00,9037,3507,15440,120,5410,324105,348582,333142,2.712657065,09:30.3,
20200324,0:00,9037,3507,15440,120,5410,324105,348582,333142,2.712657065,20:57.6,37:58.6
20200325,0:00,9137,3730,14278,126,5281,334481,357896,343618,2.659057442,12:04.0,
20200326,0:00,9241,4144,14369,131,4966,341332,364942,350573,2.635970254,40:50.5,
20200327,0:00,9332,4528,15219,139,4665,352410,376961,361742,2.579739151,17:01.0,
20200328,0:00,9478,4811,16564,144,4523,361883,387925,371361,2.552233541,30:06.1,
20200329,0:00,9583,5033,15028,152,4398,369530,394141,379113,2.527742388,10:20.2,
20200330,0:00,9661,5228,13531,158,4275,372002,395194,381663,2.531290694,32:34.3,
20200331,0:00,9786,5408,16892,162,4216,383886,410564,393672,2.485825764,00:44.4,43:15.1
20200401,0:00,9887,5567,16585,165,4155,395075,421547,404962,2.441463644,13:22.2,
20200402,0:00,9976,5828,17885,169,3979,403882,431743,413858,2.410488622,09:03.0,
20200402,0:00,9976,5828,17885,169,3979,403882,431743,413858,2.410488622,13:00.0,
20200403,0:00,10062,6021,18908,174,3867,414303,443273,424365,2.371072072,19:21.2,
20200404,0:00,10156,6325,20144,177,3654,424732,455032,434888,2.33531392,32:51.5,
20200405,0:00,10237,6463,19571,183,3591,431425,461233,441662,2.317835811,11:59.6,
20200406,0:00,10284,6598,19295,186,3500,437225,466804,447509,2.298054341,27:44.4,
20200407,0:00,10331,6694,20650,192,3445,446323,477304,456654,2.262325524,12:25.2,
20200408,0:00,10384,6776,17858,200,3408,457761,486003,468145,2.218116182,15:42.4,
20200409,0:00,10423,6973,15509,204,3246,468779,494711,479202,2.175074395,22:27.3,
20200410,0:00,10450,7117,15298,208,3125,477303,503051,487753,2.142477853,15:54.5,
20200411,0:00,10480,7243,14070,211,3026,485929,510479,496409,2.111162368,24:11.1,
20200412,0:00,10512,7368,13788,214,2930,490321,514621,500833,2.098903227,20:49.5,
20200413,0:00,10537,7447,13391,217,2873,494815,518743,505352,2.08508129,14:53.5,
20200414,0:00,10564,7534,14651,222,2808,502223,527438,512787,2.060114628,23:15.1,
20200415,0:00,10591,7616,15026,225,2750,508935,534552,519526,2.038589022,34:34.3,
20200416,0:00,10613,7757,14268,229,2627,513894,538775,524507,2.023423901,55:17.2,
20200417,0:00,10635,7829,14186,230,2576,521642,546463,532277,1.998019828,32:02.0,
20200418,0:00,10653,7937,13550,232,2484,530631,554834,541284,1.968098078,44:12.1,
20200419,0:00,10661,8042,12243,234,2385,536205,559109,546866,1.949472083,27:30.3,
20200420,0:00,10674,8114,11981,236,2324,540380,563035,551054,1.937015247,26:59.6,
20200421,0:00,10683,8213,12721,237,2233,547610,571014,558293,1.913511364,11:58.6,
20200422,0:00,10694,8277,12121,238,2179,555144,577959,565838,1.88994023,20:28.3,
20200423,0:00,10702,8411,10139,240,2051,563130,583971,573832,1.865005786,11:05.0,
20200424,0:00,10708,8501,9600,240,1967,569212,589520,579920,1.846461581,11:08.1,
20200425,0:00,12801,10718,9259,240,1843,575184,597244,587985,2.177096354,39:03.0,
20200425,0:00,10718,8635,9259,240,1843,575184,595161,585902,1.829316166,57:05.0,
20200425,0:00,10718,8635,9259,240,1843,575184,595161,585902,1.829316166,58:08.1,
20200426,0:00,10728,8717,8999,242,1769,578558,598285,589286,1.820508208,12:24.2,
20200427,0:00,10738,8764,8895,243,1731,582027,601660,592765,1.811510464,12:27.3,
20200428,0:00,10752,8854,9203,244,1654,588559,608514,599311,1.794060179,22:16.0,null
20200429,0:00,10761,8922,8307,246,1593,595129,614197,605890,1.776064962,26:00.3,null
20200430,0:00,10765,9059,8634,247,1459,600482,619881,611247,1.761153838,12:41.9,null
20200501,0:00,10774,9072,8685,248,1454,603610,623069,614384,1.753626397,24:38.0,null
20200502,0:00,10780,9123,8496,250,1407,608286,627562,619066,1.741332911,22:19.5,null
20200503,0:00,10793,9183,8588,250,1360,611592,630973,622385,1.734135623,54:37.4,null
20200504,0:00,10801,9217,8176,252,1332,614944,633921,625745,1.726102486,11:32.1,null
20200505,0:00,10804,9283,8858,254,1267,620575,640237,631379,1.711175063,20:41.1,null
20200506,0:00,10806,9333,8009,255,1218,624280,643095,635086,1.701501844,16:11.2,null
20200507,0:00,10810,9419,8429,256,1135,630149,649388,640959,1.686535332,43:55.6,null
20200508,0:00,10822,9484,8867,256,1082,635174,654863,645996,1.675242571,18:50.4,null
20200509,0:00,10840,9568,9153,256,1016,640037,660030,650877,1.665445238,17:14.7,null
20200510,0:00,10874,9610,10128,256,1008,642884,663886,653758,1.663306606,14:56.1,null
20200511,0:00,10909,9632,10922,256,1021,646661,668492,657570,1.658986876,25:58.1,null
20200512,0:00,10936,9670,16330,258,1008,653624,680890,664560,1.645600096,12:13.8,null
20200513,0:00,10962,9695,19579,259,1008,665379,695920,676341,1.62078005,41:14.6,null
20200514,0:00,10991,9762,20722,260,969,679771,711484,690762,1.591141377,18:24.7,null
20200515,0:00,11018,9821,19875,260,937,695854,726747,706872,1.558698039,33:33.8,null
20200516,0:00,11037,9851,18343,262,924,711265,740645,722302,1.528031211,19:43.6,40:31.4
20200517,0:00,11050,9888,17660,262,900,718943,747653,729993,1.513713145,12:11.3,null
20200518,0:00,11065,9904,16093,263,898,726053,753211,737118,1.501116511,18:09.2,null
20200519,0:00,11078,9938,16925,263,877,737571,765574,748649,1.479732158,22:38.5,null
20200520,0:00,11110,10066,16351,263,781,748972,776433,760082,1.461684397,13:17.2,null
20200521,0:00,11122,10135,18089,264,723,759473,788684,770595,1.443300307,24:06.6,null
20200522,0:00,11142,10162,20286,264,716,770990,802418,782132,1.42456772,15:38.1,null
20200523,0:00,11165,10194,21569,266,705,781686,814420,792851,1.408209109,34:53.9,null
20200524,0:00,11190,10213,20333,266,711,788766,820289,799956,1.398826935,29:09.7,null
20200525,0:00,11206,10226,19089,267,713,796142,826437,807348,1.388001209,27:08.0,null
20200526,0:00,11225,10275,22044,269,681,806206,839475,817431,1.373204589,12:48.7,null
20200527,0:00,11265,10295,21061,269,701,820550,852876,831815,1.354267475,16:33.1,null
20200528,0:00,11344,10340,22370,269,735,834952,868666,846296,1.340429353,11:27.9,null
20200529,0:00,11402,10363,24557,269,770,849161,885120,860563,1.324946576,10:53.1,null
20200530,0:00,11441,10398,26298,269,774,865162,902901,876603,1.305151819,12:26.8,null
20200531,0:00,11468,10405,23294,270,793,876060,910822,887528,1.292128248,22:37.9,null
20200601,0:00,11503,10422,24058,271,810,885830,921391,897333,1.281909837,13:09.7,null
20200602,0:00,11541,10446,28922,272,823,899388,939851,910929,1.266948357,15:46.2,null
20200603,0:00,11590,10467,27865,273,850,917397,956852,928987,1.247595499,25:46.3,null
20200604,0:00,11629,10499,28199,273,857,934030,973858,945659,1.229724457,27:45.9,null
20200605,0:00,11668,10506,28766,273,889,950526,990960,962194,1.212645267,56:50.9,null
20200606,0:00,11719,10531,27954,273,915,965632,1005305,977351,1.199057452,49:23.1,null
20200607,0:00,11776,10552,26481,273,951,974512,1012769,986288,1.193971741,20:09.0,null
20200608,0:00,11814,10563,24374,273,978,982026,1018214,993840,1.188722531,14:00.8,null
20200609,0:00,11852,10589,27459,274,989,996686,1035997,1008538,1.175166429,08:46.5,null
20200610,0:00,11902,10611,26223,276,1015,1013847,1051972,1025749,1.160322847,13:47.6,null
20200611,0:00,11947,10654,25494,276,1017,1029447,1066888,1041394,1.147212294,30:28.3,null
20200612,0:00,12003,10669,24244,277,1057,1045240,1081487,1057243,1.135311371,22:23.3,null
20200613,0:00,12051,10691,23352,277,1083,1059301,1094704,1071352,1.124840389,11:42.8,null
20200614,0:00,12085,10718,21356,277,1090,1066887,1100328,1078972,1.120047601,19:17.7,null
20200615,0:00,12121,10730,20793,277,1114,1072805,1105719,1084926,1.117219055,16:22.3,null
20200616,0:00,12155,10760,22632,278,1117,1084980,1119767,1097135,1.107885538,16:46.7,null
20200617,0:00,12198,10774,21489,279,1145,1099136,1132823,1111334,1.097599821,14:34.4,null
20200618,0:00,12257,10800,21714,280,1177,1111741,1145712,1123998,1.090482367,12:45.4,null
20200619,0:00,12306,10835,21190,280,1191,1124567,1158063,1136873,1.082442806,32:23.7,null
20200620,0:00,12373,10856,21470,280,1237,1137058,1170901,1149431,1.07644565,14:21.6,null
20200621,0:00,12421,10868,20071,280,1273,1143971,1176463,1156392,1.074116736,10:23.2,null
20200622,0:00,12438,10881,19403,280,1277,1150225,1182066,1162663,1.069785484,40:10.6,null
20200623,0:00,12484,10908,22278,281,1295,1161250,1196012,1173734,1.063614073,41:14.0,null
20200624,0:00,12535,10930,20245,281,1324,1175817,1208597,1188352,1.05482214,31:42.8,null
20200625,0:00,12563,10974,18900,282,1307,1189015,1220478,1201578,1.045541779,19:08.9,null
20200626,0:00,12602,11172,18828,282,1148,1200885,1232315,1213487,1.03849485,13:35.5,null
20200627,0:00,12653,11317,19866,282,1054,1211261,1243780,1223914,1.033814467,47:04.6,null
20200628,0:00,12715,11364,19005,282,1069,1219975,1251695,1232690,1.03148399,29:27.3,null
20200629,0:00,12757,11429,18499,282,1046,1228698,1259954,1241455,1.027584568,29:35.5,00:25.8
20200630,0:00,12800,11537,20809,282,981,1240157,1273766,1252957,1.021583342,19:14.2,null
20200701,0:00,12850,11613,19526,282,955,1252855,1285231,1265705,1.015244468,35:05.5,null
20200702,0:00,12904,11684,19782,282,938,1263276,1295962,1276180,1.011142629,27:02.5,null
20200703,0:00,12967,11759,21560,282,926,1273234,1307761,1286201,1.008162799,19:07.9,null
20200704,0:00,13030,11811,22321,283,936,1284172,1319523,1297202,1.00446962,13:42.5,null
20200705,0:00,13091,11832,21649,283,976,1291315,1326055,1304406,1.003598573,25:25.5,null
20200706,0:00,13137,11848,21292,284,1005,1297367,1331796,1310504,1.002438756,42:19.9,null
20200707,0:00,13181,11914,23675,285,982,1309338,1346194,1322519,0.996658649,15:15.3,null
20200708,0:00,13244,11970,24012,285,989,1322479,1359735,1335723,0.991522943,19:47.4,null
20200709,0:00,13293,12019,23912,287,987,1334566,1371771,1347859,0.986230756,50:30.0,null
20200710,0:00,13338,12065,23527,288,985,1348025,1384890,1361363,0.97975338,16:34.9,null
20200711,0:00,13373,12144,22950,288,941,1360618,1396941,1373991,0.973296041,24:19.5,null
20200712,0:00,13417,12178,21830,289,950,1366897,1402144,1380314,0.972025206,21:53.3,null
20200713,0:00,13479,12204,21845,289,986,1372988,1408312,1386467,0.972183254,20:51.9,null
20200714,0:00,13512,12282,24289,289,941,1382815,1420616,1396327,0.967681639,42:51.8,null
20200715,0:00,13551,12348,23297,289,914,1394468,1431316,1408019,0.96241599,38:15.0,null
20200716,0:00,13612,12396,23404,291,925,1404332,1441348,1417944,0.959981494,44:37.8,null
20200717,0:00,13672,12460,23110,293,919,1414235,1451017,1427907,0.957485326,40:48.7,null
20200718,0:00,13711,12519,22923,294,898,1423570,1460204,1437281,0.953954028,13:20.7,null
20200719,0:00,13745,12556,21953,295,894,1429601,1465299,1443346,0.952301111,19:04.1,null
20200720,0:00,13771,12572,21302,296,903,1435120,1470193,1448891,0.950451069,55:19.9,null
20200721,0:00,13816,12643,23864,296,877,1444710,1482390,1458526,0.947257711,07:32.3,null
20200722,0:00,13879,12698,21751,297,884,1456441,1492071,1470320,0.943944175,27:17.2,null
20200723,0:00,13938,12758,21418,297,883,1465498,1500854,1479436,0.942115779,38:02.3,null
20200724,0:00,13979,12817,20559,298,864,1475789,1510327,1489768,0.938334022,05:48.0,null
20200725,0:00,14092,12866,19681,298,928,1484861,1518634,1498953,0.940122872,19:50.2,null
20200726,0:00,14150,12890,19214,298,962,1489562,1522926,1503712,0.94100466,28:23.6,null
20200727,0:00,14175,12905,18770,299,971,1494029,1526974,1508204,0.939859595,35:55.4,null
20200728,0:00,14203,13007,20444,300,896,1503057,1537704,1517260,0.93609533,31:12.1,null
20200729,0:00,14251,13069,19326,300,882,1513730,1547307,1527981,0.932668665,44:55.2,null
20200730,0:00,14269,13132,19018,300,837,1522928,1556215,1537197,0.928247973,11:23.0,14:10.8
20200731,0:00,14305,13183,18330,301,821,1531161,1563796,1545466,0.925610787,36:44.9,null
20200801,0:00,14336,13233,18278,301,802,1539216,1571830,1553552,0.922788552,20:04.0,null
20200802,0:00,14366,13259,17768,301,806,1544112,1576246,1558478,0.921796779,17:01.0,null
20200803,0:00,14389,13280,17401,301,808,1547967,1579757,1562356,0.920980878,22:38.4,null
20200804,0:00,14423,13352,18724,301,770,1556633,1589780,1571056,0.918044933,49:58.6,null
20200805,0:00,14456,13406,18490,302,748,1565241,1598187,1579697,0.915112202,20:58.2,null
20200806,0:00,14499,13501,18031,302,696,1573957,1606487,1588456,0.912773158,22:46.9,null
20200807,0:00,14519,13543,17068,303,673,1582065,1613652,1596584,0.909379024,11:42.7,null
20200808,0:00,14562,13629,16105,304,629,1589847,1620514,1604409,0.907623929,18:57.2,null
20200809,0:00,14598,13642,16803,305,651,1593249,1624650,1607847,0.907922209,42:31.5,null
20200810,0:00,14626,13658,16396,305,663,1597281,1628303,1611907,0.907372448,37:49.2,null
20200811,0:00,14660,13729,17489,305,626,1605695,1637844,1620355,0.904740011,28:37.0,null
20200812,0:00,14714,13786,17375,305,623,1614563,1646652,1629277,0.903099964,41:22.2,null
20200813,0:00,14770,13817,17798,305,648,1622330,1654898,1637100,0.902205119,26:12.7,null
20200814,0:00,14873,13863,20132,305,705,1630079,1665084,1644952,0.904160121,25:20.2,null
20200815,0:00,15039,13901,21618,305,833,1638639,1675296,1653678,0.909427349,04:10.1,null
20200816,0:00,15318,13910,22005,305,1103,1644464,1681787,1659782,0.922892283,33:30.8,null
20200817,0:00,15515,13917,22964,305,1293,1649991,1688470,1665506,0.931548731,12:22.9,null
20200818,0:00,15761,13934,25219,306,1521,1656062,1697042,1671823,0.942743341,13:01.5,null
20200819,0:00,16058,14006,31022,306,1746,1667984,1715064,1684042,0.953539164,12:19.4,null
20200820,0:00,16346,14063,34998,307,1976,1682739,1734083,1699085,0.96204722,13:52.6,null
20200821,0:00,16670,14120,38045,309,2241,1699408,1754123,1716078,0.971401067,21:09.8,null
20200822,0:00,17002,14169,42427,309,2524,1716371,1775800,1733373,0.980862169,15:55.5,null
20200823,0:00,17399,14200,47564,309,2890,1726223,1791186,1743622,0.997865363,21:59.5,null
20200824,0:00,17665,14219,47995,309,3137,1738762,1804422,1756427,1.005734938,17:43.8,null
20200825,0:00,17945,14286,50362,310,3349,1757530,1825837,1775475,1.010715442,23:00.2,null
20200826,0:00,18265,14368,52795,312,3585,1778446,1849506,1796711,1.016579739,20:54.1,null
20200827,0:00,18706,14461,52041,313,3932,1798832,1869579,1817538,1.029194438,15:47.3,null
20200828,0:00,19077,14551,50711,316,4210,1817929,1887717,1837006,1.038483271,39:46.1,null
20200829,0:00,19400,14765,54046,321,4314,1835883,1909329,1855283,1.045662575,56:02.1,null
20200830,0:00,19699,14903,58021,323,4473,1846450,1924170,1866149,1.055596311,37:35.2,null
20200831,0:00,19947,14973,57876,324,4650,1859866,1937689,1879813,1.061116185,32:30.2,null
20200901,0:00,20182,15198,56743,324,4660,1882155,1959080,1902337,1.060905612,32:28.2,null
20200902,0:00,20449,15356,56748,326,4767,1903098,1980295,1923547,1.063088139,20:17.6,null
20200903,0:00,20644,15529,55524,329,4786,1924384,2000552,1945028,1.061372895,37:35.8,null
20200904,0:00,20842,15783,52266,331,4728,1945798,2018906,1966640,1.059777082,46:40.7,null
20200905,0:00,21010,16009,52077,333,4668,1963958,2037045,1984968,1.05845535,34:11.9,null
20200906,0:00,21177,16146,49621,334,4697,1975137,2045935,1996314,1.060805064,48:30.8,null
20200907,0:00,21296,16297,47109,336,4663,1982892,2051297,2004188,1.062574968,34:32.0,null
20200908,0:00,21432,16636,43370,341,4455,2001276,2066078,2022708,1.059569646,34:17.3,null
20200909,0:00,21588,17023,36533,344,4221,2024113,2082234,2045701,1.055286183,04:44.8,null
20200910,0:00,21743,17360,33018,346,4037,2044830,2099591,2066573,1.05212833,43:44.8,null
20200911,0:00,21919,17616,29423,350,3953,2067869,2119211,2089788,1.048862373,34:22.3,null
20200912,0:00,22055,18029,27826,355,3671,2085576,2135457,2107631,1.046435548,03:19.8,null
20200913,0:00,22176,18226,27705,358,3592,2093389,2143270,2115565,1.048230615,05:38.7,null
20200914,0:00,22285,18489,27476,363,3433,2101241,2151002,2123526,1.049433819,54:39.9,null
20200915,0:00,22391,18878,27310,367,3146,2114877,2164578,2137268,1.047645873,48:41.8,null
20200916,0:00,22504,19310,25842,367,2827,2130486,2178832,2152990,1.045244056,37:10.6,null
20200917,0:00,22657,19543,25508,372,2742,2143727,2191892,2166384,1.045844135,09:16.9,null
20200918,0:00,22783,19771,25403,377,2635,2158179,2206365,2180962,1.044630764,58:09.8,null
20200919,0:00,22893,19970,24705,378,2545,2171564,2219162,2194457,1.043219348,09:15.9,null
20200920,0:00,22975,20158,24274,383,2434,2179452,2226701,2202427,1.043167379,52:54.0,null
20200921,0:00,23045,20248,22536,385,2412,2186008,2231589,2209053,1.043207202,01:43.0,null
20200922,0:00,23106,20441,23222,388,2277,2198784,2245112,2221890,1.039925469,08:48.1,null
20200923,0:00,23216,20650,20527,388,2178,2213156,2256899,2236372,1.038109939,10:59.6,null
20200924,0:00,23341,20832,20782,393,2116,2224876,2268999,2248217,1.038200494,06:21.9,null
20200925,0:00,23455,20978,19575,395,2082,2237246,2280276,2260701,1.037510047,56:13.8,null
20200926,0:00,23516,21166,18508,399,1951,2248321,2290345,2271837,1.035109473,01:53.3,null
20200927,0:00,23611,21248,18878,401,1962,2254028,2296517,2277639,1.036643647,12:36.1,null
20200928,0:00,23661,21292,18587,406,1963,2259055,2301303,2282716,1.036528416,25:15.4,null
20200929,0:00,23699,21470,20056,407,1822,2269289,2313044,2292988,1.03354226,40:16.8,null
20200930,0:00,23812,21590,20596,413,1809,2278591,2322999,2302403,1.034223809,32:00.2,null
20201001,0:00,23889,21666,20029,415,1808,2284517,2328435,2308406,1.034869949,38:23.4,null
20201002,0:00,23952,21733,19995,416,1803,2289830,2333777,2313782,1.035188276,51:40.6,null
20201003,0:00,24027,21787,21287,420,1820,2294545,2339859,2318572,1.036284403,49:45.7,null
20201004,0:00,24091,21845,22116,421,1825,2300138,2346345,2324229,1.036515765,35:29.5,null
20201005,0:00,24164,21886,22447,422,1856,2305767,2352378,2329931,1.037112258,32:34.4,null
20201006,0:00,24239,22083,22737,422,1734,2318457,2365433,2342696,1.034662628,39:50.7,null
20201007,0:00,24353,22334,22138,425,1594,2331582,2378073,2355935,1.033687262,42:43.6,null
20201008,0:00,24422,22463,20978,427,1532,2343444,2388844,2367866,1.031392824,01:47.6,null
20201009,0:00,24476,22569,20699,428,1479,2355058,2400233,2379534,1.02860476,37:05.2,null
20201010,0:00,24548,22624,18982,430,1494,2361154,2404684,2385702,1.028963383,39:43.1,null
20201011,0:00,24606,22693,19303,432,1481,2366574,2410483,2391180,1.029031691,32:37.4,null
20201012,0:00,24703,22729,19192,433,1541,2371715,2415610,2396418,1.030830181,41:37.5,null
20201013,0:00,24805,22863,20124,434,1508,2383842,2428771,2408647,1.02983127,40:11.1,null
20201014,0:00,24889,23030,18396,438,1421,2398169,2441454,2423058,1.027173101,35:05.1,null
20201015,0:00,24988,23082,18262,439,1467,2407489,2450739,2432477,1.027265623,39:50.8,null
20201016,0:00,25035,23180,17355,441,1414,2417036,2459426,2442071,1.025154469,34:40.2,null
20201017,0:00,25108,23258,17318,443,1407,2426101,2468527,2451209,1.02431086,49:12.3,null
20201018,0:00,25199,23312,17781,444,1443,2431549,2474529,2456748,1.025705526,33:55.9,null
20201019,0:00,25275,23368,16763,444,1463,2437188,2479226,2462463,1.026411361,42:35.6,null
20201020,0:00,25333,23466,19379,447,1420,2446599,2491311,2471932,1.024825926,32:53.4,null
20201021,0:00,25424,23584,19493,450,1390,2458574,2503491,2483998,1.023511291,34:27.4,null
20201022,0:00,25543,23647,19813,453,1443,2469969,2515325,2495512,1.02355749,41:20.7,null
20201023,0:00,25698,23717,20430,455,1526,2482493,2528621,2508191,1.024563121,37:38.2,null
20201024,0:00,25775,23834,21888,457,1484,2493016,2540679,2518791,1.023308405,28:45.5,null
20201025,0:00,25836,23869,21682,457,1510,2498628,2546146,2524464,1.023425171,35:31.9,null
20201026,0:00,25955,23905,20763,457,1593,2505546,2552264,2531501,1.025281049,38:40.8,null
20201027,0:00,26043,23981,23003,460,1602,2518541,2567587,2544584,1.023467883,38:15.4,null
20201028,0:00,26146,24073,22904,461,1612,2533910,2582960,2560056,1.021305784,35:22.9,null
20201029,0:00,26271,24168,26148,462,1641,2545559,2597978,2571830,1.021490534,37:57.2,null
20201030,0:00,26385,24227,26373,463,1695,2559473,2612231,2585858,1.020357653,31:55.5,null
20201031,0:00,26511,24311,25678,464,1736,2572303,2624492,2598814,1.020119177,35:22.8,null
20201101,0:00,26635,24357,24838,466,1812,2579157,2630630,2605792,1.02214605,41:40.0,null
20201102,0:00,26732,24395,25524,468,1869,2584394,2636650,2611126,1.023772886,35:09.9,null
20201103,0:00,26807,24510,25815,472,1825,2597237,2649859,2624044,1.021591101,30:37.1,null
20201104,0:00,26925,24616,24255,474,1835,2611080,2662260,2638005,1.020657656,37:25.1,null
20201105,0:00,27050,24735,25062,475,1840,2621594,2673706,2648644,1.021277303,51:34.9,52:58.7
20201106,0:00,27195,24821,25629,476,1898,2633490,2686314,2660685,1.02210521,24:23.7,null
20201107,0:00,27284,24910,26217,477,1897,2643748,2697249,2671032,1.021477841,40:32.3,null
20201108,0:00,27427,24968,25648,478,1981,2649805,2702880,2677232,1.024453615,34:44.6,null
20201109,0:00,27553,25029,25802,480,2044,2655844,2709199,2683397,1.026795513,36:39.8,null
20201110,0:00,27653,25160,27855,485,2008,2668452,2723960,2696105,1.025664802,37:03.0,null
20201111,0:00,27799,25266,28688,487,2046,2680047,2736534,2707846,1.026609342,35:35.4,null
20201112,0:00,27942,25404,29284,487,2051,2692546,2749772,2720488,1.027095139,39:23.8,null
20201113,0:00,28133,25537,30119,488,2108,2703159,2761411,2731292,1.030025351,35:49.8,null
